central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight,impact_score,contribution_hit_rate,refinement_multiplier,refined_signed_weight,refined_abs_weight,refined_normalized_abs_weight,weight_change,refinement_rationale,production_signed_weight,production_abs_weight,production_weight_pct
BOC,CAD,cpi_headline_yoy,Headline CPI (YoY),Inflation,"inflation,unemployment",0.0536071623974137,0.0536071623974137,0.8306857700932573,0.1067646977476395,0.3886655144833463,"Linked to inflation, unemployment; strongest target link is inflation with Pearson 0.96. strong positive Pearson correlation (0.96); Spearman 0.90; same macro theme; PCA loading signal 0.39; model importance signal 0.09",0.0737539270897149,-0.090525911947765,0.5333333333333333,0.909474088052235,0.0487543251344559,0.0487543251344559,0.0693154573288023,-0.0044384697609125,Mostly unchanged: validation signal was neutral.,0.1145795915843609,0.1145795915843609,11.45795915843609
BOC,CAD,full_time_employment_change,Full-Time Employment Change,Labor,"gdp_growth,inflation,unemployment",0.038403658239826,0.038403658239826,0.3428640283951741,0.0075012130297498,0.2939698828103399,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.80. strong positive Pearson correlation (0.80); Spearman 0.27; PCA loading signal 0.29",0.0528366077055239,0.0667946183722857,0.52,1.0667946183722858,0.0409688159360549,0.0409688159360549,0.0582465700221586,0.0054099623166346,Mostly unchanged: validation signal was neutral.,0.09628253872250864,0.09628253872250864,9.628253872250864
BOC,CAD,employment_change,Employment Change,Labor,"gdp_growth,inflation,unemployment",0.0392087324125618,0.0392087324125618,0.3241939070086081,0.0167013752616463,0.3072153942361847,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.84. strong positive Pearson correlation (0.84); Spearman 0.42; PCA loading signal 0.31; model importance signal 0.05",0.0539442466698394,0.0172548812136799,0.4933333333333333,1.01725488121368,0.0398852744328795,0.0398852744328795,0.0567060672130189,0.0027618205431794,Mostly unchanged: validation signal was neutral.,0.09373606222927132,0.09373606222927132,9.373606222927132
BOC,CAD,retail_sales_yoy,Retail Sales (YoY),Growth,"gdp_growth,inflation,unemployment",0.0321505005935775,0.0321505005935775,0.2028155172539408,0.0230816589359604,0.1666807823077939,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.14. weak positive Pearson correlation (0.14); Spearman 0.23; same macro theme; PCA loading signal 0.17; model importance signal 0.03",0.0442333742475977,0.0953581377419727,0.5555555555555556,1.0953581377419728,0.0352163124576532,0.0352163124576532,0.0500680667141691,0.0058346924665714,Mostly unchanged: validation signal was neutral.,0.0827633381731185,0.0827633381731185,8.27633381731185
BOC,CAD,ppi_yoy,PPI (YoY),Inflation,"gdp_growth,inflation,unemployment",0.0375476199462724,0.0375476199462724,0.2773205933637836,0.0195427559401565,0.2850960545906697,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.57. moderate positive Pearson correlation (0.57); Spearman 0.52; same macro theme; PCA loading signal 0.29; model importance signal 0.05",0.0516588511695464,-0.0708163488829401,0.4594594594594595,0.92918365111706,0.0348886345924331,0.0348886345924331,0.0496021974600749,-0.0020566537094714,Mostly unchanged: validation signal was neutral.,0.08199324862999362,0.08199324862999362,8.199324862999362
BOC,CAD,cpi_headline_mom,Headline CPI (MoM),Inflation,"gdp_growth,inflation,unemployment",0.0350635651234673,0.0350635651234673,0.2787170039778358,0.0299780265893712,0.1987183854875247,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.28. weak positive Pearson correlation (0.28); Spearman 0.25; same macro theme; PCA loading signal 0.20; model importance signal 0.04",0.0482412332600251,-0.0052995624216897,0.4722222222222222,0.9947004375783104,0.0348777435713685,0.0348777435713685,0.049586713375252,0.0013454801152268,Mostly unchanged: validation signal was neutral.,0.08196765318298298,0.08196765318298298,8.196765318298297
BOC,CAD,composite_pmi,Composite PMI,Growth,"gdp_growth,inflation,unemployment",-0.0234178008236905,0.0234178008236905,0.2509102333400957,0.0,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.25. weak negative Pearson correlation (-0.25); Spearman -0.26; same macro theme",0.0322187315520969,0.4532564614046948,0.6206896551724138,1.4532564614046948,-0.0340320703589164,0.0340320703589164,0.0483843949079123,0.0161656633558154,Increased: contribution aligned with forward FX returns.,-0.07998020097173052,0.07998020097173052,7.998020097173051
BOC,CAD,services_pmi,Services PMI,Growth,"gdp_growth,inflation,unemployment",-0.0230741136195112,0.0230741136195112,0.2483185261126732,0.0020137503334054,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.26. weak negative Pearson correlation (-0.26); Spearman -0.28; same macro theme; model importance signal 0.01",0.0317458790475978,0.4192048461000227,0.6,1.4192048461000226,-0.0327468938682729,0.0327468938682729,0.0465572217094011,0.0148113426618032,Increased: contribution aligned with forward FX returns.,-0.07695985360756023,0.07695985360756023,7.695985360756024
BOC,CAD,ivey_pmi_sa,Ivey PMI s.a.,Growth,"gdp_growth,inflation,unemployment",0.0330554528209785,0.0330554528209785,0.244712886346945,0.0202348018511882,0.2313669662300276,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.36. weak positive Pearson correlation (0.36); Spearman 0.27; same macro theme; PCA loading signal 0.23; model importance signal 0.03",0.0454784276623748,-0.026021500042291,0.5070422535211268,0.973978499957709,0.0321953003539994,0.0321953003539994,0.0457730049943502,0.0002945773319753,Mostly unchanged: validation signal was neutral.,0.07566353047291031,0.07566353047291031,7.566353047291032
BOC,CAD,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,"gdp_growth,inflation,unemployment",0.0346575583837669,0.0346575583837669,0.2418171692948863,0.0,0.2611480041221345,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.40. moderate positive Pearson correlation (0.40); Spearman 0.42; same macro theme; PCA loading signal 0.26",0.047682640151593,-0.0721388300193518,0.4594594594594595,0.9278611699806482,0.0321574026706346,0.0321574026706346,0.0457191247437901,-0.0019635154078029,Mostly unchanged: validation signal was neutral.,0.0755744655321085,0.0755744655321085,7.55744655321085
